
"InChI","InChI key"
"InChI=1S/C2H6/c1-2/h1-2H3","InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N"
"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3","InChIKey=ROSDSFDQCJNGOL-UHFFFAOYSA-N"
"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H","InChIKey=ISWSIDIOOBJBQZ-UHFFFAOYSA-N"
"InChI=1S/K/q+1","InChIKey=NPYPAHLBTDXSSS-UHFFFAOYSA-N"
"InChI=1S/C19H26O3/c1-7-8-13-12(4)16(10-15(13)20)22-18(21)17-14(9-11(2)3)19(17,5)6/h7,9,14,16-17H,1,8,10H2,2-6H3","InChIKey=ZCVAOQKBXKSDMS-UHFFFAOYSA-N"
"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3","InChIKey=MMOXZBCLCQITDF-UHFFFAOYSA-N"
"InChI=1S/C13H11ClO/c14-12-6-7-13(15)11(9-12)8-10-4-2-1-3-5-10/h1-7,9,15H,8H2","InChIKey=NCKMMSIFQUPKCK-UHFFFAOYSA-N"
"InChI=1S/C3H8NO5P/c5-3(6)1-4-2-10(7,8)9/h4H,1-2H2,(H,5,6)(H2,7,8,9)","InChIKey=XDDAORKBJWWYJS-UHFFFAOYSA-N"
"InChI=1S/C21H20Cl2O3/c1-21(2)17(12-18(22)23)19(21)20(24)25-13-14-7-6-10-16(11-14)26-15-8-4-3-5-9-15/h3-12,17,19H,13H2,1-2H3","InChIKey=RLLPVAHGXHCWKJ-UHFFFAOYSA-N"
"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N"
"InChI=1S/C22H26O3/c1-15(2)10-19-20(22(19,3)4)21(23)25-14-17-12-18(24-13-17)11-16-8-6-5-7-9-16/h5-10,12-13,19-20H,11,14H2,1-4H3","InChIKey=VEMKTZHHVJILDY-UHFFFAOYSA-N"
"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)","InChIKey=IWEDIXLBFLAXBO-UHFFFAOYSA-N"
"InChI=1S/C9H8Cl3NO2S/c10-9(11,12)16-13-7(14)5-3-1-2-4-6(5)8(13)15/h1-2,5-6H,3-4H2","InChIKey=LDVVMCZRFWMZSG-UHFFFAOYSA-N"
"InChI=1S/C11H16O/c1-4-11(2,3)9-5-7-10(12)8-6-9/h5-8,12H,4H2,1-3H3","InChIKey=NRZWYNLTFLDQQX-UHFFFAOYSA-N"
"InChI=1S/C19H25NO4/c1-11(2)9-14-15(19(14,3)4)18(23)24-10-20-16(21)12-7-5-6-8-13(12)17(20)22/h9,14-15H,5-8,10H2,1-4H3","InChIKey=CXBMCYHAMVGWJQ-UHFFFAOYSA-N"
"InChI=1S/Cu.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2","InChIKey=ARUVKPQLZAKDPS-UHFFFAOYSA-L"
"InChI=1S/C7H4Cl3NO3/c8-3-1-4(9)7(11-6(3)10)14-2-5(12)13/h1H,2H2,(H,12,13)","InChIKey=REEQLXCGVXDJSQ-UHFFFAOYSA-N"
"InChI=1S/H8O2Si3/c3-1-5-2-4/h5H2,3-4H3","InChIKey=ZQTYRTSKQFQYPQ-UHFFFAOYSA-N"
"InChI=1S/CH3/h1H3","InChIKey=WCYWZMWISLQXQU-UHFFFAOYSA-N"
"InChI=1S/C4H7Cl2O4P/c1-8-11(7,9-2)10-3-4(5)6/h3H,1-2H3","InChIKey=OEBRKCOSUFCWJD-UHFFFAOYSA-N"
"InChI=1S/H2O3S/c1-4(2)3/h4H,(H,1,2,3)/p-1","InChIKey=BDHFUVZGWQCTTF-UHFFFAOYSA-M"
"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)","InChIKey=WNTGYJSOUMFZEP-UHFFFAOYSA-N"
"InChI=1S/C18H30/c1-2-3-4-5-6-7-8-9-10-12-15-18-16-13-11-14-17-18/h11,13-14,16-17H,2-10,12,15H2,1H3","InChIKey=KWKXNDCHNDYVRT-UHFFFAOYSA-N"
"InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)","InChIKey=WHKUVVPPKQRRBV-UHFFFAOYSA-N"
"InChI=1S/C4H11N.ClH.H3N/c1-3-5-4-2;;/h5H,3-4H2,1-2H3;1H;1H3","InChIKey=PZDXXHWYBQEVIH-UHFFFAOYSA-N"
"InChI=1S/C10H19O6PS2/c1-5-15-9(11)7-8(10(12)16-6-2)19-17(18,13-3)14-4/h8H,5-7H2,1-4H3","InChIKey=JXSJBGJIGXNWCI-UHFFFAOYSA-N"
"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3","InChIKey=DNIAPMSPPWPWGF-UHFFFAOYSA-N"
"InChI=1S/C20H19NO3/c1-16(23-20-9-5-6-14-21-20)15-22-17-10-12-19(13-11-17)24-18-7-3-2-4-8-18/h2-14,16H,15H2,1H3","InChIKey=NHDHVHZZCFYRSB-UHFFFAOYSA-N"
"InChI=1S/C13H16F3N3O4/c1-3-5-6-17(4-2)12-10(18(20)21)7-9(13(14,15)16)8-11(12)19(22)23/h7-8H,3-6H2,1-2H3","InChIKey=SMDHCQAYESWHAE-UHFFFAOYSA-N"
"InChI=1S/C6H15NO3/c8-4-1-7(2-5-9)3-6-10/h8-10H,1-6H2","InChIKey=GSEJCLTVZPLZKY-UHFFFAOYSA-N"
"InChI=1S/C8H11N.ClH/c1-9-7-8-5-3-2-4-6-8;/h2-6,9H,7H2,1H3;1H","InChIKey=CBSOFSBFHDQRLV-UHFFFAOYSA-N"
"InChI=1S/C19H23N3/c1-14-6-8-18(16(3)10-14)20-12-22(5)13-21-19-9-7-15(2)11-17(19)4/h6-13H,1-5H3/b20-12+,21-13+","InChIKey=QXAITBQSYVNQDR-ZIOPAAQOSA-N"
"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)","InChIKey=WJCNZQLZVWNLKY-UHFFFAOYSA-N"
"InChI=1S/C13H29N3.ClH/c1-2-3-4-5-6-7-8-9-10-11-12-16-13(14)15;/h2-12H2,1H3,(H4,14,15,16);1H","InChIKey=CGMKPKRNUNDACU-UHFFFAOYSA-N"
"InChI=1S/C5H5NOS/c7-6-4-2-1-3-5(6)8/h1-4,7H","InChIKey=YBBJKCMMCRQZMA-UHFFFAOYSA-N"
"InChI=1S/Na/q+1","InChIKey=FKNQFGJONOIPTF-UHFFFAOYSA-N"
"InChI=1S/C8H16O4/c1-5-9-6(2)11-8(4)12-7(3)10-5/h5-8H,1-4H3","InChIKey=GKKDCARASOJPNG-UHFFFAOYSA-N"
"InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)","InChIKey=HRPVXLWXLXDGHG-UHFFFAOYSA-N"
"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3","InChIKey=ZNQVEEAIQZEUHB-UHFFFAOYSA-N"
