"graph.compound.sort.list.graph.compound.." "graph.pesticides_used.sort.list.graph.compound.." "graph.year.sort.list.graph.compound.."
"1" "1" "" ""
"2" "1010'-OXYBISPHENOXYARSINE" "3688" "2003"
"3" "1010'-OXYBISPHENOXYARSINE" "36682" "2004"
"4" "1010'-OXYBISPHENOXYARSINE" "187" "2009"
"5" "1010'-OXYBISPHENOXYARSINE" "619" "2011"
"6" "12-BENZISOTHIAZOLIN-3-ONE" "437942" "1998"
"7" "12-BENZISOTHIAZOLIN-3-ONE" "805279" "1999"
"8" "12-BENZISOTHIAZOLIN-3-ONE" "597988" "2000"
"9" "12-BENZISOTHIAZOLIN-3-ONE" "343983" "2001"
"10" "12-BENZISOTHIAZOLIN-3-ONE" "548393" "2002"
"11" "12-BENZISOTHIAZOLIN-3-ONE" "903986" "2003"
"12" "12-BENZISOTHIAZOLIN-3-ONE" "260255" "2004"
"13" "12-BENZISOTHIAZOLIN-3-ONE" "107690" "2009"
"14" "12-BENZISOTHIAZOLIN-3-ONE" "148559" "2011"
"15" "12-DIBROMO-24-DICYANOBUTANE" "6525" "2004"
"16" "12-DIBROMO-24-DICYANOBUTANE" "2251" "2009"
"17" "12-DIBROMO-24-DICYANOBUTANE" "2288" "2011"
"18" "1-(2-HYDROXYETHYL)-2-ALKYL-2-IMIDAZOLINE ALKYL DERIVED FROM TALL OIL FATTY" "385" "2003"
"19" "1-(2-HYDROXYETHYL)-2-ALKYL-2-IMIDAZOLINE ALKYL DERIVED FROM TALL OIL FATTY" "75" "2004"
"20" "1-(2-HYDROXYETHYL)-2-ALKYL-2-IMIDAZOLINE ALKYL DERIVED FROM TALL OIL FATTY" "135" "2009"
"21" "1-(2-HYDROXYETHYL)-2-ALKYL-2-IMIDAZOLINE ALKYL DERIVED FROM TALL OIL FATTY" "218" "2011"
"22" "13-BIS(HYDROXYMETHYL)-55-DIMETHYL HYDANTOIN" "476331" "2003"
"23" "13-BIS(HYDROXYMETHYL)-55-DIMETHYL HYDANTOIN" "796879" "2004"
"24" "13-BIS(HYDROXYMETHYL)-55-DIMETHYL HYDANTOIN" "71564" "2009"
"25" "13-BIS(HYDROXYMETHYL)-55-DIMETHYL HYDANTOIN" "50365" "2011"
"26" "1-(3-CHLOROALLYL)-357-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE" "148154" "2003"
"27" "1-(3-CHLOROALLYL)-357-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE" "85649" "2004"
"28" "1-(3-CHLOROALLYL)-357-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE" "21184" "2009"
"29" "1-(3-CHLOROALLYL)-357-TRIAZA-1-AZONIA ADAMANTANE CHLORIDE" "21696" "2011"
"30" "13-DIBROMO-55-DIMETHYLHYDANTOIN" "2887" "1999"
"31" "13-DIBROMO-55-DIMETHYLHYDANTOIN" "1138" "2002"
"32" "13-DIBROMO-55-DIMETHYLHYDANTOIN" "52757" "2003"
"33" "13-DIBROMO-55-DIMETHYLHYDANTOIN" "42119" "2004"
"34" "13-DIBROMO-55-DIMETHYLHYDANTOIN" "71614" "2009"
"35" "13-DIBROMO-55-DIMETHYLHYDANTOIN" "44690" "2011"
"36" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "169768" "1991"
"37" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "185753" "1992"
"38" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "235791" "1993"
"39" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "390304" "1994"
"40" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "432961" "1995"
"41" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "722167" "1996"
"42" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "857275" "1997"
"43" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "464267" "1998"
"44" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "355389" "1999"
"45" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "424989" "2000"
"46" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "1116222" "2001"
"47" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "864430" "2002"
"48" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "347604" "2003"
"49" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "307046" "2004"
"50" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "529487" "2009"
"51" "13-DICHLORO-55-DIMETHYLHYDANTOIN" "251687" "2011"
"52" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "65676" "1991"
"53" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "71861" "1992"
"54" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "91218" "1993"
"55" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "150993" "1994"
"56" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "167495" "1995"
"57" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "279378" "1996"
"58" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "331646" "1997"
"59" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "179607" "1998"
"60" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "135763" "1999"
"61" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "162196" "2000"
"62" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "425057" "2001"
"63" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "330305" "2002"
"64" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "133212" "2003"
"65" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "116870" "2004"
"66" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "140521" "2009"
"67" "13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN" "92164" "2011"
"68" "13-DICHLOROPROPENE" "64423" "1991"
"69" "13-DICHLOROPROPENE" "420549" "1992"
"70" "13-DICHLOROPROPENE" "7834" "1993"
"71" "13-DICHLOROPROPENE" "40546" "1994"
"72" "13-DICHLOROPROPENE" "4075078" "2003"
"73" "13-DICHLOROPROPENE" "4573703" "2004"
"74" "13-DICHLOROPROPENE" "8000157" "2009"
"75" "13-DICHLOROPROPENE" "10533492" "2011"
"76" "14-DIMETHYLNAPHTHALENE" "894" "2003"
"77" "14-DIMETHYLNAPHTHALENE" "825" "2004"
"78" "14-DIMETHYLNAPHTHALENE" "2811" "2009"
"79" "14-DIMETHYLNAPHTHALENE" "2449" "2011"
"80" "17-DIOXASPIRO-(55)-UNDECANE" "2003" ""
"81" "17-DIOXASPIRO-(55)-UNDECANE" "2004" ""
"82" "17-DIOXASPIRO-(55)-UNDECANE" "2009" ""
"83" "17-DIOXASPIRO-(55)-UNDECANE" "2011" ""
"84" "1991" "" ""
"85" "1992" "" ""
"86" "1993" "" ""
"87" "1993" "" ""
"88" "1994" "" ""
"89" "1994" "" ""
"90" "1995" "" ""
"91" "1996" "" ""
"92" "1997" "" ""
"93" "1998" "" ""
"94" "1999" "" ""
"95" "1999" "" ""
"96" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "1413438" "1991"
"97" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "1614584" "1992"
"98" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "1348603" "1993"
"99" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "1791401" "1994"
"100" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "2819675" "1995"
"101" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "3107099" "1996"
"102" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "3106473" "1997"
"103" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "2169307" "1998"
"104" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "1821924" "1999"
"105" "1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN" "1871643" "2000"
