"(E)-5-DECENOL"	           5                 3.10
"(E)-5-DECENYL ACETATE"	           5                14.94
"(ZE)-711-HEXADECADIEN-1-YL ACETATE"	         4                15.64
"(ZZ)-711-HEXADECADIEN-1-YL ACETATE"	         4                16.56
"12-BENZISOTHIAZOLIN-3-ONE"	          6           548393.22
"13-DIBROMO-55-DIMETHYLHYDANTOIN"	         4             1138.21
"13-DICHLORO-55-DIMETHYLHYDANTOIN"	         38          864430.85
"13-DICHLORO-5-ETHYL-5-METHYLHYDANTOIN"	          38          330305.60
"1-BROMO-3-CHLORO-55-DIMETHYL HYDANTOIN"	          76         2999727.47
"1-OCTEN-3-OL"	           6                15.75
"22-DIBROMO-3-NITRILOPROPIONAMIDE"	          29           91046.14
"24-D"	          22          223247.64
"24-D 2-ETHYLHEXYL ESTER"	         8            27929.48
"24-D DIMETHYLAMINE SALT"	         55          701933.63
"24-D ISOOCTYL ESTER"	         12           16355.64
"24-DP ISOOCTYL ESTER"	         8             2554.95
"2-(24-DP) DIMETHYLAMINE SALT"	         22            8895.95
"2-(2-(P-(DIISOBUTYL) PHENOXY) ETHOXY) ETHYL DIMETHYLBENZYL AMMONIUM CH"	E          16            1001.49
"2-BUTOXYETHANOL"	           4               360.76
"2-METHYL-4-ISOTHIAZOLIN-3-ONE"	           46           48929.80
"3-IODO-2-PROPYNYL BUTYL CARBAMATE"	           15         3309458.26
"44-(2-ETHYL-2-NITROTRIMETHYLENE)DIMORPHOLINE"	          6                77.69
"44-DIMETHYL OXAZOLIDINE"	          4           642520.91
"4-(2-NITROBUTYL)MORPHOLINE"	           6             2762.61
"4-NONYLPHENOL FORMALDEHYDE RESIN PROPOXYLATED"	         5            55794.25
"5-CHLORO-2-METHYL-4-ISOTHIAZOLIN-3-ONE"	           46          139601.74
"ACEPHATE"	           15         2135593.60
"ALKYL (50%C12 30%C14 17%C16 3%C18) DIMETHYLBENZYL AMMONIUM CHLORIDE"	        6               258.62
