
"InChI","InChI key"
"InChI=1S/C2H6/c1-2/h1-2H3","InChIKey=OTMSDBZUPAUEDD-UHFFFAOYSA-N"
"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3","InChIKey=NBIIXXVUZAFLBC-UHFFFAOYSA-K"
"InChI=1S/C3H8NO5P/c5-3(6)1-4-2-10(7,8)9/h4H,1-2H2,(H,5,6)(H2,7,8,9)","InChIKey=XDDAORKBJWWYJS-UHFFFAOYSA-N"
"InChI=1S/H2O3S/c1-4(2)3/h4H,(H,1,2,3)/p-1","InChIKey=BDHFUVZGWQCTTF-UHFFFAOYSA-M"
"InChI=1S/C12H10O2/c13-12(14)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,8H2,(H,13,14)","InChIKey=PRPINYUDVPFIRX-UHFFFAOYSA-N"
"InChI=1S/C8H6Cl2O3/c1-13-7-5(10)3-2-4(9)6(7)8(11)12/h2-3H,1H3,(H,11,12)","InChIKey=IWEDIXLBFLAXBO-UHFFFAOYSA-N"
"InChI=1S/C13H11ClO/c14-12-6-7-13(15)11(9-12)8-10-4-2-1-3-5-10/h1-7,9,15H,8H2","InChIKey=NCKMMSIFQUPKCK-UHFFFAOYSA-N"
"InChI=1S/ClH.H3N/h1H;1H3","InChIKey=NLXLAEXVIDQMFP-UHFFFAOYSA-N"
"InChI=1S/B3O7/c4-1(5)9-3(8)10-2(6)7/q-5","InChIKey=NGKQNTOXCAGWRY-UHFFFAOYSA-N"
"InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)","InChIKey=WHKUVVPPKQRRBV-UHFFFAOYSA-N"
"InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3","InChIKey=MMOXZBCLCQITDF-UHFFFAOYSA-N"
"InChI=1S/P/q-3","InChIKey=FZTWZIMSKAGPSB-UHFFFAOYSA-N"
"InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)","InChIKey=WJCNZQLZVWNLKY-UHFFFAOYSA-N"
"InChI=1S/C9H21NO3/c1-7(2,11)10(8(3,4)12)9(5,6)13/h11-13H,1-6H3","InChIKey=RNDZKWVMJALAAE-UHFFFAOYSA-N"
"InChI=1S/C2H6O/c1-3-2/h1-2H3","InChIKey=LCGLNKUTAGEVQW-UHFFFAOYSA-N"
"InChI=1S/C2H5IO/c1-2(3)4/h2,4H,1H3","InChIKey=HZHWUOHAMYTSLL-UHFFFAOYSA-N"
"InChI=1S/C9H13BrN2O2/c1-4-5(2)12-8(13)7(10)6(3)11-9(12)14/h5H,4H2,1-3H3,(H,11,14)","InChIKey=CTSLUCNDVMMDHG-UHFFFAOYSA-N"
"InChI=1S/C10H16/c1-7-4-5-8-6-9(7)10(8,2)3/h8-9H,1,4-6H2,2-3H3","InChIKey=WTARULDDTDQWMU-UHFFFAOYSA-N"
"InChI=1S/C21H20Cl2O3/c1-21(2)17(12-18(22)23)19(21)20(24)25-13-14-7-6-10-16(11-14)26-15-8-4-3-5-9-15/h3-12,17,19H,13H2,1-2H3","InChIKey=RLLPVAHGXHCWKJ-UHFFFAOYSA-N"
"InChI=1S/C6H14O3/c1-5(8)4-9-6(2)3-7/h5-8H,3-4H2,1-2H3","InChIKey=DUFKCOQISQKSAV-UHFFFAOYSA-N"
"InChI=1S/C6H12O5/c7-1-3(8)6-5(10)4(9)2-11-6/h3-10H,1-2H2/t3?,4?,5-,6?/m0/s1","InChIKey=JNYAEWCLZODPBN-CTQIIAAMSA-N"
"InChI=1S/O2Si/c1-3-2","InChIKey=VYPSYNLAJGMNEJ-UHFFFAOYSA-N"
"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChIKey=LRHPLDYGYMQRHN-UHFFFAOYSA-N"
"InChI=1S/C6H3Cl2NO2/c7-3-1-2-4(8)9-5(3)6(10)11/h1-2H,(H,10,11)","InChIKey=HUBANNPOLNYSAD-UHFFFAOYSA-N"
"InChI=1S/H3N/h1H3","InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N"
"InChI=1S/C2H7N/c1-3-2/h3H,1-2H3","InChIKey=ROSDSFDQCJNGOL-UHFFFAOYSA-N"
"InChI=1S/C11H16O/c1-4-11(2,3)9-5-7-10(12)8-6-9/h5-8,12H,4H2,1-3H3","InChIKey=NRZWYNLTFLDQQX-UHFFFAOYSA-N"
